name,image,column,row
Nhà tài trợ ChínhAriyana Convention Centre Danang,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/T%C3%A0i%20tr%E1%BB%A3%20ch%C3%ADnh_Ariyana%20Convention%20Centre%20Danang_H5.png,H,5
Ariyana Convention Centre Danang,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/T%C3%A0i%20tr%E1%BB%A3%20ch%C3%ADnh_Ariyana%20Convention%20Centre%20Danang_H5.png,H,5
Horecfex Vietnam,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/T%C3%A0i%20tr%E1%BB%A3%20ch%C3%ADnh_HorecFex_I5.png,I,5
"Nhà tài trợ Kim CươngBEIJING COSMOS TRAVEL INTERNATIONAL CO.,LTD.",https://aiaivnchatbot0001.blob.core.windows.net/dnitf/Kim%20c%C6%B0%C6%A1ng_BCTI_F4.jpg,F,4
"BEIJING COSMOS TRAVEL INTERNATIONAL CO.,LTD.",https://aiaivnchatbot0001.blob.core.windows.net/dnitf/Kim%20c%C6%B0%C6%A1ng_BCTI_F4.jpg,F,4
SUN HOSPITALITY GROUP,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/Kim%20c%C6%B0%C6%A1ng_SUN-HOSPITALITY-GROUP_F5.jpg,F,5
SUN WORLD GROUP,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/Kim%20c%C6%B0%C6%A1ng_SUN%20WORLD%20GROUP_G5.jpg,G,5
CÔNG TY TNHH THACO AUTO ĐÀ NẴNG,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/Kim%20c%C6%B0%C6%A1ng_Thaco%20Auto%20Da%20Nang_G4.png,G,4
Vietjet Air,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/Kim%20c%C6%B0%C6%A1ng_VIETJETAIR_H4.png,H,4
Vikki Digital Bank,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/Kim%20c%C6%B0%C6%A1ng_Vikki_I4.png,I,4
Nhà tài trợ VàngCÔNG TY TNHH LEGACY VOYAGES VIỆT NAM,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/V%C3%A0ng_Legacy%20Voyages_J5.png,J,5
CÔNG TY TNHH LEGACY VOYAGES VIỆT NAM,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/V%C3%A0ng_Legacy%20Voyages_J5.png,J,5
WYNDHAM DANANG GOLDEN BAY HOTEL,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/V%C3%A0ng_WYNDHAM%20DANANG%20GOLDEN%20BAY%20HOTEL_G6.png,G,6
STARLUX Airlines,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/V%C3%A0ng_STARLUX_D5.png,D,5
CÔNG TY TNHH SẢN XUẤT -THƯƠNG MẠI - DỊCH VỤ BM,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/V%C3%A0ng_BMWINE_D4.png,D,4
TAXI TIÊN SA,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/V%C3%A0ng_Taxi%20Ti%C3%AAn%20Sa_H2.jpeg,H,2
FVG GROUP,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/V%C3%A0ng_FVG_J4.png,J,4
New Orient Hotel Danang,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/V%C3%A0ng_New%20Orient%20Hotel%20Danang_G3.png,G,3
Bel Group,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/V%C3%A0ng_Belgroup_E4.logo.png,E,4
FAIFO TAILOR VIỆT NAM,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/V%C3%A0ng_FAIFO%20TAILOR_H7.png,H,7
Olivia's Prime Steakhouse,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/V%C3%A0ng_OLIVA_H3.jpg,H,3
The Pearl Hoi An,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/V%C3%A0ng_The%20Pearl%20Hoian_C4.png,C,4
Idocean,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/V%C3%A0ng_IDOCEAN_C5.png,C,5
Tập đoàn Tuần Châu,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/V%C3%A0ng_TU%E1%BA%A6N%20CH%C3%82U_E5.png,E,5
Furama Resort Danang,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/V%C3%A0ng_Furama%20Resort_H6.png,H,6
Nhà tài trợ BạcHệ thống nhà hàng Sơn Dương - Hoa Viên Đà Nẵng,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B%E1%BA%A1c_S%C6%A0N%20D%C6%AF%C6%A0NG%20-%20Nh%C3%A0%20h%C3%A0ng%20S%C6%A1n%20D%C6%B0%C6%A1ng%20%C4%90%C3%A0%20N%E1%BA%B5ng_H8.jpeg,H,8
Hệ thống nhà hàng Sơn Dương - Hoa Viên Đà Nẵng,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B%E1%BA%A1c_S%C6%A0N%20D%C6%AF%C6%A0NG%20-%20Nh%C3%A0%20h%C3%A0ng%20S%C6%A1n%20D%C6%B0%C6%A1ng%20%C4%90%C3%A0%20N%E1%BA%B5ng_H8.jpeg,H,8
CÔNG VIÊN SUỐI KHOÁNG NÓNG NÚI THẦN TÀI,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B%E1%BA%A1c_N%C3%BAi%20Th%E1%BA%A7n%20T%C3%A0i_K5.png,K,5
CARO PREMIUM DA NANG HOTEL,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B%E1%BA%A1c_CARO%20PREMIUM%20DA%20NANG%20HOTEL_B6.png,B,6
Công Ty TNHH Triết Minh - TRIMICO,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/B%E1%BA%A1c_Trimico_L5.jpg,L,5
